site,name,day,total rainfall (mm),latitude,longitude
TA00259,Kpandai SHS, Kpandai,2018-05-15,0,8.47606,0.02853
TA00259,Kpandai SHS, Kpandai,2018-05-16,0,8.47606,0.02853
TA00259,Kpandai SHS, Kpandai,2018-05-17,0,8.47606,0.02853
TA00259,Kpandai SHS, Kpandai,2018-05-18,0,8.47606,0.02853
TA00259,Kpandai SHS, Kpandai,2018-05-19,0,8.47606,0.02853
TA00260,Bimbilla SHS, Bimbilla,2018-05-15,0,8.86232,0.05191
TA00260,Bimbilla SHS, Bimbilla,2018-05-16,0,8.86232,0.05191
TA00260,Bimbilla SHS, Bimbilla,2018-05-17,0,8.86232,0.05191
TA00260,Bimbilla SHS, Bimbilla,2018-05-18,0,8.86232,0.05191
TA00260,Bimbilla SHS, Bimbilla,2018-05-19,0,8.86232,0.05191
TA00262,Atebubu SHS, Atebubu,2018-05-15,0.02,7.7402922,-0.9716813
TA00262,Atebubu SHS, Atebubu,2018-05-16,0,7.7402922,-0.9716813
TA00262,Atebubu SHS, Atebubu,2018-05-17,1.48,7.7402922,-0.9716813
TA00262,Atebubu SHS, Atebubu,2018-05-18,0,7.7402922,-0.9716813
TA00262,Atebubu SHS, Atebubu,2018-05-19,0,7.7402922,-0.9716813
TA00263,Odawna Sahara,2018-05-15,0,5.561,-0.218
TA00263,Odawna Sahara,2018-05-16,0,5.561,-0.218
TA00263,Odawna Sahara,2018-05-17,0,5.561,-0.218
TA00263,Odawna Sahara,2018-05-18,0,5.561,-0.218
TA00263,Odawna Sahara,2018-05-19,0,5.561,-0.218
TA00264,Gbewaa College of Education, Pusiga,2018-05-15,0,11.0688601,-0.1147799
TA00264,Gbewaa College of Education, Pusiga,2018-05-16,0,11.0688601,-0.1147799
TA00264,Gbewaa College of Education, Pusiga,2018-05-17,7.44,11.0688601,-0.1147799
TA00264,Gbewaa College of Education, Pusiga,2018-05-18,0.04,11.0688601,-0.1147799
TA00264,Gbewaa College of Education, Pusiga,2018-05-19,0,11.0688601,-0.1147799
TA00265,Prang SHS, Prang,2018-05-15,0,7.996203,-0.8821018
TA00265,Prang SHS, Prang,2018-05-16,0,7.996203,-0.8821018
TA00265,Prang SHS, Prang,2018-05-17,6.27,7.996203,-0.8821018
TA00265,Prang SHS, Prang,2018-05-18,0.04,7.996203,-0.8821018
TA00265,Prang SHS, Prang,2018-05-19,0,7.996203,-0.8821018
TA00266,Kajaji SHS, Kajaji,2018-05-15,0.07,7.781986,-0.212638
